entidad,recaudo,acumulado,porcentaje
Distrito BOGOTÁ,1373240172002.72,0.36925254859802015,0.36925254859802015
Municipio MEDELLIN,231215431476.78,0.4314244025013902,0.06217185390337007
Distrito BARRANQUILLA,120938081815.07,0.4639436193457705,0.03251921684438024
MUNICIPIO DE MEDELLIN,108046639521.0,0.49299643750823086,0.029052818162460362
DISTRITO ESPECIAL INDUSTRIAL Y PORTUARIO DE BARRANQUILLA,84081246262.76,0.5156051661959031,0.02260872868767226
Municipio SANTIAGO DE CALI,66085865275.32,0.5333750906976231,0.01776992450171999
MUNICIPIO DE SANTIAGO DE CALI VALLE DEL CAUCA,51544872214.0,0.5472350664106996,0.013859975713076556
Distrito CARTAGENA DE INDIAS,45569957436.23,0.5594884385927056,0.012253372182005975
DISTRITO ESPECIAL DE CIENCIA TECNOLOGIA E INNOVACION DE MEDELLIN,41102631940.63,0.5705405851200167,0.011052146527311138
MUNICIPIO DE CARTAGENA DE INDIAS,32216164162.58,0.5792032363922527,0.008662651272235943
Municipio CUCUTA,27501425320.68,0.5865981346749976,0.007394898282744891
Municipio de Medellin,26264106702.9,0.5936603285536929,0.007062193878695357
Municipio MANIZALES,26026488679.46,0.6006586289762129,0.006998300422520037
Municipio BUCARAMANGA,23787147657.0,0.6070547897318475,0.006396160755634576
MUNICIPIO DE SAN JOSE DE CUCUTA,22543413529.78,0.6131165210077614,0.00606173127591396
Municipio PEREIRA,21846401812.0,0.6189908317883824,0.005874310780620993
MUNICIPIO DE MANIZALES,18210152493.72,0.6238873861972578,0.004896554408875379
Distrito SANTA MARTA,17337190369.55,0.6285492085499705,0.004661822352712754
Municipio IBAGUE,17281190023.0,0.6331959728879911,0.004646764338020537
Municipio MONTERIA,15964609501.0,0.6374887199731708,0.004292747085179751
MUNICIPIO DE PEREIRA,15504110618.44,0.6416576428435639,0.004168922870393029
Municipio VILLAVICENCIO,15236957210.0,0.6457547304451202,0.004097087601556368
Municipio ARMENIA,13709552331.0,0.6494411119256277,0.0036863814805074393
Municipio SAN ANDRES,13542238337.62,0.65308250410293,0.003641392177302323
Municipio VALLEDUPAR,13319074236.0,0.6566638893601329,0.0035813852572028357
Municipio BARRANCABERMEJA,13299446203.72,0.6602399968071674,0.0035761074470345064
MUNICIPIO DE SANTA MARTA,12992693312.0,0.6637336210226691,0.003493624215501721
Municipio SOLEDAD,12621581010.69,0.6671274563113184,0.003393835288649294
Municipio TUNJA,12606846384.76,0.6705173295849551,0.003389873273636759
Municipio PASTO,12454514475.0,0.6738662421096577,0.0033489125247026155
Municipio NEIVA,12386470880.0,0.6771968582930634,0.0033306161834057548
MUNICIPIO DE VILLAVICENCIO,12290440691.0,0.6805016527791773,0.003304794486113805
MUNICIPIO DE MONTERIA,12209926406.0,0.6837847976620091,0.0032831448828317808
Municipio BUENAVENTURA,12151056306.7,0.6870521128781548,0.003267315216145697
Municipio BELLO,12142230163.98,0.6903170548199381,0.0032649419417832832
Municipio PALMIRA,12094959848.84,0.6935692861778815,0.003252231357943444
Municipio ITAGÜI,11938501426.2,0.6967794472028364,0.0032101610249548663
MUNICIPIO DE VALLEDUPAR,10791201336.0,0.6996811090366445,0.0029016618338080975
MUNICIPIO DE BUENAVENTURA,10533467458.4,0.7025134684329736,0.0028323593963291115
MUNICIPIO DE SOLEDAD,10272993510.0,0.7052757886101981,0.0027623201772245466
Municipio RIOHACHA,9836549999.0,0.7079207528565072,0.002644964246309136
