fecha,recaudo,recaudo_lag1,recaudo_lag3,recaudo_lag6,recaudo_lag12,rolling_mean_3m,rolling_std_3m,rolling_mean_6m,rolling_std_6m,rolling_mean_12m,rolling_std_12m,mes,año,trimestre,es_periodo_renta,es_pico_fin_año
2020-01-31,95591842149.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2020,1,0,1
2020-03-31,121039890738.03,172258075601.54,0.0,0.0,0.0,72210577629.20334,25898171108.90884,0.0,0.0,0.0,0.0,5,4040,2,0,0
2020-05-31,94696604436.26001,83846167570.73999,172258075601.54,0.0,0.0,99860887581.67667,28268972430.971134,0.0,0.0,0.0,0.0,9,4040,4,2,0
2020-07-31,41069288877.96001,71387773323.86,83846167570.73999,95591842149.58,0.0,69051222212.69334,40151056727.41626,97382966758.065,49862068837.45912,0.0,0.0,13,4040,5,0,0
2020-09-30,74029512090.39,53574812014.33,71387773323.86,121039890738.03,0.0,56224537660.89334,17302726490.611595,69767359718.92334,28611260941.43454,0.0,0.0,17,4040,6,2,0
2020-11-30,76113761063.15,79785396153.01999,53574812014.33,94696604436.26001,0.0,76642889768.85333,14043492937.510164,65993423920.45167,25070779703.60065,0.0,0.0,21,4040,8,1,0
2021-01-31,84317556425.35,78157976114.81,79785396153.01999,41069288877.96001,95591842149.58,79529764534.43666,9441619760.154762,74329835643.50833,14907252301.277496,85856401200.78667,37656940169.42396,13,4041,5,0,2
2021-03-31,81822937713.58,96803163213.09,78157976114.81,74029512090.39,121039890738.03,87647885784.00667,15896644654.968805,82833465113.83334,12913375079.180767,76300412416.37834,22275444422.521725,5,4042,2,0,0
2021-05-31,88898216823.53,76686610196.86,96803163213.09,76113761063.15,94696604436.26001,82469254911.32333,14932694214.463629,84447743414.53667,12770381943.981518,75220583667.49417,21419344684.18982,9,4042,4,2,0
2021-07-31,168679384993.56,78544217707.86,76686610196.86,84317556425.35,41069288877.96001,112040606508.31668,62069334837.5912,98572421774.74667,46166212834.1142,86451128709.1275,36190649140.536865,13,4042,5,0,0
2021-09-30,103102321242.67001,193022922437.59,78544217707.86,81822937713.58,74029512090.39,154934876224.6067,101837931578.15594,118155612233.67833,76489006257.5033,100494538673.75583,55508996041.335915,17,4042,6,2,0
2021-11-30,138301769760.02002,111893007885.37,193022922437.59,88898216823.53,76113761063.15,117765699629.35333,24714488029.33339,132257270671.17834,72383856017.0049,108352507042.85748,55531021834.022995,21,4042,8,1,0
2022-01-31,170580372809.53,113554879493.16,111893007885.37,168679384993.56,84317556425.35,140812340687.57,60107271859.21077,138409212271.38998,65748519676.54016,118490817023.06834,62076949322.73345,13,4043,5,0,2
2022-03-31,100369112403.83,177253952312.28,113554879493.16,103102321242.67001,81822937713.58,149401145841.88,93724665675.99191,135325515777.36499,64197581891.54042,126740564005.52167,67920894615.407974,5,4044,2,0,0
2022-05-31,93193518121.68,94523696764.32,177253952312.28,138301769760.02002,88898216823.53,96028775763.27667,9590944066.463285,124912588650.79999,66990486569.450325,128584929660.98917,66738326803.93587,9,4044,4,2,0
2022-07-31,212892812060.78,103394637212.25,94523696764.32,170580372809.53,168679384993.56,136493655798.23668,67885510035.18467,130271288145.85669,77977911768.3636,134340250208.62332,69329689059.80719,13,4044,5,0,0
2022-09-30,114959884945.64,215733798689.63,103394637212.25,100369112403.83,103102321242.67001,181195498565.35,120270959720.23645,139116391299.05,89192490853.72375,137220953538.20752,74117228526.19226,17,4044,6,2,0
2022-11-30,116698499688.6,117701800480.92001,215733798689.63,93193518121.68,138301769760.02002,116453395038.38666,2372960903.121473,146896905512.97,85006101463.0372,135904747081.88501,73910777922.19302,21,4044,8,1,0
2023-01-31,227593627898.36,115741990153.9,117701800480.92001,212892812060.78,170580372809.53,153344705913.62,65287723899.96243,151404933642.84167,87573675654.59006,140838110894.34918,80007108721.79012,13,4045,5,0,2
2023-03-31,102628353878.40001,216548018367.23,115741990153.9,114959884945.64,100369112403.83,182256666714.66336,137153507640.9255,149485381744.56836,93880792497.70187,144300886521.80917,87478428329.76187,5,4046,2,0,0
2023-05-31,101712644901.61,105029347611.94,216548018367.23,116698499688.6,93193518121.68,103123448797.31667,8711181183.25126,144875663801.90668,96102830444.42316,145886284657.43835,86517746165.57712,9,4046,4,2,0
2023-07-31,231346525856.25998,94869976563.70999,105029347611.94,227593627898.36,212892812060.78,142643049107.19336,87576778571.79794,142022477863.19168,106954694655.34633,146713705753.01666,93339847705.98041,13,4046,5,0,0
