fecha,recaudo,recaudo_lag1,recaudo_lag3,recaudo_lag6,recaudo_lag12,rolling_mean_3m,rolling_std_3m,rolling_mean_6m,rolling_std_6m,rolling_mean_12m,rolling_std_12m,mes,año,trimestre,es_periodo_renta,es_pico_fin_año
2020-01-31,95591842149.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2020,1,0,1
2020-02-29,76666233451.96,95591842149.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2020,1,0,0
2020-03-31,44373657286.07,76666233451.96,0.0,0.0,0.0,72210577629.20334,25898171108.90884,0.0,0.0,0.0,0.0,3,2020,1,0,0
2020-04-30,39472510284.67,44373657286.07,95591842149.58,0.0,0.0,53504133674.23334,20208103821.669113,0.0,0.0,0.0,0.0,4,2020,2,1,0
2020-05-31,55224094151.590004,39472510284.67,76666233451.96,0.0,0.0,46356753907.44334,8060868609.30202,0.0,0.0,0.0,0.0,5,2020,2,1,0
2020-06-30,16163679172.27,55224094151.590004,44373657286.07,0.0,0.0,36953427869.51,19651675163.963715,54582002749.35667,28207825583.829403,0.0,0.0,6,2020,2,0,0
2020-07-31,24905609705.690002,16163679172.27,39472510284.67,95591842149.58,0.0,32097794343.18334,20499381563.45255,42800964008.708336,21654243253.629715,0.0,0.0,7,2020,3,0,0
2020-08-31,28669202308.64,24905609705.690002,55224094151.590004,76666233451.96,0.0,23246163728.86667,6415788957.02377,34801458818.155,14236776102.462141,0.0,0.0,8,2020,3,1,0
2020-09-30,45360309781.75,28669202308.64,16163679172.27,44373657286.07,0.0,32978373932.02667,10886937533.587824,34965900900.76833,14374484838.9724,0.0,0.0,9,2020,3,1,0
2020-10-31,34425086371.27,45360309781.75,24905609705.690002,39472510284.67,0.0,36151532820.55334,8478427340.987823,34124663581.868336,14204688963.755754,0.0,0.0,10,2020,4,1,0
2020-11-30,41688674691.88,34425086371.27,28669202308.64,55224094151.590004,0.0,40491356948.299995,5565065596.522342,31868760338.583332,10866090739.844896,0.0,0.0,11,2020,4,0,0
2020-12-31,36469301422.93,41688674691.88,45360309781.75,16163679172.27,0.0,37527687495.35999,3745672787.5725217,35253030713.69334,7696172137.23684,44917516731.525,22147008680.704014,12,2020,4,0,1
2021-01-31,47848255002.42,36469301422.93,34425086371.27,24905609705.690002,95591842149.58,42002077039.07667,5695946972.58224,39076804929.814995,7211080164.040656,40938884469.261665,15509931488.719944,1,2021,1,0,1
2021-02-28,48954908210.670006,47848255002.42,41688674691.88,28669202308.64,76666233451.96,44424154878.67333,6911290795.328806,42457755913.48667,6011191902.51168,38629607365.82084,11159821459.301071,2,2021,1,0,0
2021-03-31,32868029502.91,48954908210.670006,36469301422.93,45360309781.75,44373657286.07,43223730905.333336,8985353859.64,40375709200.346664,6902183176.669088,37670805050.5575,11115622963.220654,3,2021,1,0,0
2021-04-30,43818580693.950005,32868029502.91,47848255002.42,34425086371.27,39472510284.67,41880506135.84334,8216691328.273889,41941291587.46,6323572183.884198,38032977584.66416,11249657727.086586,4,2021,2,1,0
2021-05-31,45079636129.58,43818580693.950005,48954908210.670006,41688674691.88,55224094151.590004,40588748775.48,6716002886.18974,42506451827.07667,6446809760.097319,37187606082.83,10169686957.103231,5,2021,2,1,0
2021-06-30,33464581578.28,45079636129.58,32868029502.91,36469301422.93,16163679172.27,40787599467.27,6373186679.737557,42005665186.30167,7093804190.288087,38629347949.9975,7888771273.390708,6,2021,2,0,0
2021-07-31,135214803415.28,33464581578.28,43818580693.950005,47848255002.42,24905609705.690002,71253007041.04668,55696148157.853645,56566756588.44501,39072408643.82611,47821780759.130005,28301877867.14616,7,2021,3,0,0
2021-08-31,57808119022.310005,135214803415.28,45079636129.58,48954908210.670006,28669202308.64,75495834671.95667,53131143170.90066,58042291723.71833,38894223497.85146,50250023818.6025,27753965346.839745,8,2021,3,1,0
2021-09-30,45294202220.36,57808119022.310005,33464581578.28,32868029502.91,45360309781.75,79439041552.65001,48706788407.255295,60113320509.96,37594782759.65183,50244514855.15333,27755030694.49617,9,2021,3,1,0
2021-10-31,66598805665.01,45294202220.36,135214803415.28,43818580693.950005,34425086371.27,56567042302.56,10706387605.148472,63910024671.80334,36761098054.31996,52925658129.63166,27641709552.140697,10,2021,4,1,0
2021-11-30,71702964095.01001,66598805665.01,57808119022.310005,45079636129.58,41688674691.88,61198657326.793335,14008100424.184916,68347245999.375,35622757962.68494,55426848913.22583,27889312281.8823,11,2021,4,0,0
2021-12-31,41851915398.15,71702964095.01001,45294202220.36,33464581578.28,36469301422.93,60051228386.05667,15966350655.15836,69745134969.35333,34112701826.326584,55875400077.82751,27598463347.283043,12,2021,4,0,1
2022-01-31,128728457411.38,41851915398.15,66598805665.01,135214803415.28,47848255002.42,80761112301.51335,44140921204.05241,68664077302.03666,31635817850.21358,62615416945.24084,34478485975.45041,1,2022,1,0,1
2022-02-28,48525494900.9,128728457411.38,71702964095.01001,57808119022.310005,48954908210.670006,73035289236.81001,48346984413.0488,67116973281.80167,32488380510.942997,62579632502.76,34494172083.20727,2,2022,1,0,0
2022-03-31,51843617502.93,48525494900.9,41851915398.15,45294202220.36,32868029502.91,76365856605.07,45377681262.94311,68208542495.56333,31709201380.59742,64160931502.761665,33426722532.200703,3,2022,1,0,0
2022-04-30,42680079261.39,51843617502.93,128728457411.38,66598805665.01,43818580693.950005,47683063888.40668,4639490897.086618,64222088094.96,33409961183.10457,64066056383.38166,33491262541.44454,4,2022,2,1,0
2022-05-31,50513438860.29,42680079261.39,48525494900.9,71702964095.01001,45079636129.58,48345711874.87,4951453169.376667,60690500555.84,33580525386.345757,64518873277.607506,33247064262.491333,5,2022,2,1,0
2022-06-30,52881198351.96,50513438860.29,51843617502.93,41851915398.15,33464581578.28,48691572157.880005,5339017361.4637,62528714381.475006,32631509789.9883,66136924675.41416,32049236927.000744,6,2022,2,0,0
2022-07-31,160011613708.82,52881198351.96,42680079261.39,128728457411.38,135214803415.28,87802083640.35667,62546492673.72097,67742573764.381676,45346401978.3753,68203325533.20917,37280452132.80644,7,2022,3,0,0
