fecha,recaudo,recaudo_lag1,recaudo_lag3,recaudo_lag6,recaudo_lag12,rolling_mean_3m,rolling_std_3m,rolling_mean_6m,rolling_std_6m,rolling_mean_12m,rolling_std_12m,mes,año,trimestre,es_periodo_renta,es_pico_fin_año
2020-03-31,216631732887.61002,172258075601.54,0.0,0.0,0.0,72210577629.20334,25898171108.90884,0.0,0.0,0.0,0.0,6,6060,3,0,1
2020-06-30,110860283608.53,139070261722.33002,216631732887.61002,0.0,0.0,136814315451.18668,47920647594.934845,54582002749.35667,28207825583.829403,0.0,0.0,15,6060,6,2,0
2020-09-30,98935121796.08,69738491186.6,110860283608.53,216631732887.61002,0.0,88322332004.07668,37802108054.06415,112568323727.63167,50265504195.064255,0.0,0.0,24,6060,9,2,0
2020-12-31,112583062486.07999,121474070844.9,98935121796.08,110860283608.53,0.0,114170577264.21332,17789165725.082687,101246454634.145,32766951840.83749,44917516731.525,22147008680.704014,33,6060,12,1,1
2021-03-31,129671192716.0,133272464636.02,112583062486.07999,98935121796.08,216631732887.61002,129649962823.08334,21592591627.551044,121910270043.64833,20124455243.221424,117239296885.64001,37785375911.24167,6,6063,3,0,1
2021-06-30,122362798401.81,121766246326.44,129671192716.0,112583062486.07999,110860283608.53,123256854378.59334,21305880894.201187,126453408600.83833,19864186134.269604,113849931617.49167,29308115957.580524,15,6063,6,2,0
2021-09-30,238317124657.95,226487504015.87,122362798401.81,129671192716.0,98935121796.08,226187883265.65335,157534079736.00958,174722368822.12335,115561414901.3294,148316319432.88583,83810873908.48207,24,6063,9,2,0
2021-12-31,180153685158.17,183595971980.38,238317124657.95,122362798401.81,112583062486.07999,177816928015.41,40680838684.491745,202002405640.53168,106496557843.33148,164227907120.685,83129485181.30605,33,6063,12,1,1
2022-03-31,229097569815.21002,219105867710.43,180153685158.17,238317124657.95,129671192716.0,230162258143.39337,137865586880.0443,203989593079.40167,95833399741.754,189355980950.7625,102399380590.85838,6,6066,3,0,1
2022-06-30,146074716473.64,145037135624.61,229097569815.21002,180153685158.17,122362798401.81,144720347921.15668,14929961427.926987,187441303032.275,99621996359.43863,194721854336.40332,98787563730.93661,15,6066,6,2,0
2022-09-30,274971498654.46,268614997041.59,146074716473.64,229097569815.21002,238317124657.95,268997582205.70667,182817452393.95743,206858965063.43167,134538892832.09906,205424279071.4167,111397680658.99872,24,6066,9,2,0
2022-12-31,174206090669.99,175936199653.43,274971498654.46,146074716473.64,180153685158.17,174522091928.38333,2872280998.165622,221759837067.045,126737268974.28786,204600570049.66,110202434369.91391,33,6066,12,1,1
2023-03-31,272714390795.37,274055609348.62003,174206090669.99,274971498654.46,229097569815.21002,277532675738.2867,201941911445.84378,226027383833.33502,139723300641.04126,216443174448.38336,131193880603.83109,6,6069,3,0,1
2023-06-30,143732951747.51,157879017329.75,272714390795.37,174206090669.99,146074716473.64,151034432713.15332,14188268966.33295,214283554225.72003,145669532307.9829,218021695646.3825,130295089619.4003,15,6069,6,2,0
2023-09-30,287904674357.25,274248906745.58997,143732951747.51,272714390795.37,274971498654.46,282116592225.6367,247995582526.92468,216575512469.395,172874878943.7738,221301448151.365,149946481121.66956,24,6069,9,2,0
2023-12-31,167891203458.94,167155775371.79,287904674357.25,143732951747.51,174206090669.99,162858015098.6267,8847370809.53107,222487303662.13165,170186505298.90356,218385428943.92584,151168008912.3302,33,6069,12,1,1
2024-03-31,127163837499.0,163159465570.19998,167891203458.94,287904674357.25,272714390795.37,162767367468.74002,85142983720.29381,162812691283.68332,58572367475.44635,189694101876.53915,126582768146.60425,6,6072,3,0,1
2024-06-30,65260989957.119995,64454737918.97,127163837499.0,167891203458.94,143732951747.51,64601195593.52336,2221085513.288048,113684281531.13167,79506252358.09688,168085792596.63165,139106944447.26978,15,6072,6,2,0
2024-09-30,145354334965.91,145095877451.17,65260989957.119995,127163837499.0,287904674357.25,145352192109.51337,139921371053.73114,104976693851.51834,98942563957.57289,133894692567.60083,83862161473.14389,24,6072,9,2,0
2024-12-31,50375113468.8,59569482362.03,145354334965.91,65260989957.119995,167891203458.94,58434006314.2967,9096532033.339407,101893099211.905,100756931836.47827,107788690371.51834,86957030611.90532,33,6072,12,1,1
2025-03-31,169347147615.16998,159731022024.31998,50375113468.8,145354334965.91,127163837499.0,160580827915.35004,184898724185.08832,109507417114.82333,130064172565.98215,107242055483.17084,110203725649.25812,6,6075,3,0,1
2025-06-30,66001435422.72,65852219136.009995,169347147615.16998,50375113468.8,65260989957.119995,65961098504.42003,2180563257.5747557,113270963209.88501,128013531758.40842,107582031210.89499,110061420112.16946,15,6075,6,2,0
2025-09-30,166796922500.16998,166290630492.31998,66001435422.72,169347147615.16998,145354334965.91,163875896642.43002,154116708099.45837,114918497573.42499,111294596301.29187,112212957344.12416,115448412476.93126,24,6075,9,2,0
2025-12-31,22564886861.03,22557849018.58,113819085991.51,21280384479.43,22308690502.31,25180907789.896683,4537177477.403929,39013810050.74833,36785604575.52965,37731401280.465,38368563632.19539,10,2025,4,1,0
